id,"title","author"
5318,"The Curious Book of Birds","Abbie Farwell Brown"
5319,"The American Missionary, Volume 43, No. 6, June, 1889","Various"
5320,"The Communist Threat in the Taiwan Area","John Foster Dulles and Dwight D. Eisenhower"
5321,"A Man and a Woman","Stanley Waterloo"
5322,"Harry","Fanny Wheeler Hart"
5323,"Journals Of Two Expeditions Of Discovery In North-West And Western Australia, Vol. 2 (of 2)","George Grey"
5324,"The Petty Troubles of Married Life, Complete","Honore de Balzac"
5325,"The American Missionary, Vol. 43, No. 7, July, 1889","Various"
5326,"Fray Luis de Leon","James Fitzmaurice-Kelly"
5327,"Miss McDonald","Mary J. Holmes"
5328,"Continental Monthly, Vol. I, No. VI, June, 1862","Various"
5329,"Punch, or the London Charivari, Volume 158, February 4, 1920","Various"
5330,"The American Missionary, Vol. 43, No. 8, August, 1889","Various"
5331,"The American Missionary, Vol. 43, No. 9, September, 1889","Various"
5332,"Gilbertus Anglicus","Henry Ebenezer Handerson"
5333,"Then Marched the Brave","Harriet T. Comstock"
5334,"The Facts of Reconstruction","John R. Lynch"
5335,"American Missionary, Volume 43, No. 10, October, 1889","Various"
5336,"Cratylus","Plato"
5337,"The Treasury of Ancient Egypt","Arthur E. P. B. Weigall"
5338,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 1. (of 7): Chaldaea","George Rawlinson"
5339,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 2. (of 7): Assyria","George Rawlinson"
5340,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 3. (of 7): Media","George Rawlinson"
5341,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 4. (of 7): Babylon","George Rawlinson"
5342,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 5. (of 7): Persia","George Rawlinson"
5343,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 6. (of 7): Parthia","George Rawlinson"
5344,"The Seven Great Monarchies Of The Ancient Eastern World, Vol 7. (of 7): The Sassanian or New Persian Empire","George Rawlinson"
5345,"The Master Mystery","Arthur B. Reeve and John W. Grey"
5346,"The Tragedy of Dido Queene of Carthage","Christopher Marlowe"
5347,"The Wind in the Rose-bush and Other Stories of the Supernatural","Mary Eleanor Wilkins Freeman"
5348,"Elements of Military Art and Science","Henry Wager Halleck"
5349,"Our Boys","Various"
5350,"American Missionary, Volume 43, No. 12, December, 1889","Various"
5351,"St. Nicholas Magazine for Boys and Girls, Vol. 5, May, 1878, No. 7.","Various"
5352,"The Gun-Brand","James B. Hendryx"
5353,"The Great Round World And What Is Going On In It, Vol. 1, November 4, 1897, No. 52","Various"
5354,"The Great Round World and What Is Going On In It, Vol. 1, No. 53, November 11, 1897","Various"
5355,"The Great Round World and What Is Going On In It, Vol. 1, No. 54, November 18, 1897","Various"
5356,"Essays on Art","A. Clutton-Brock"
5357,"The Great Round World and What Is Going On In It, Vol. 1, No. 55, November 25, 1897","Various"
5358,"In the Shadow of the Glen","J. M. Synge"
5359,"Roman Mosaics","Hugh Macmillan"
5360,"Young Lion of the Woods","Thomas Barlow Smith"
5361,"The Letters of Robert Browning and Elizabeth Barrett Barrett, Vol. 1 (of 2) 1845-1846","Robert Browning and Elizabeth Barrett Barrett"
5362,"In Indian Mexico (1908)","Frederick Starr"
5363,"His Life","William E. Barton, Theodore G. Soares, Sydney Strong"
5364,"The Nest in the Honeysuckles, and other Stories","Various"
5365,"A Little Rebel","Mrs. Hungerford"
5366,"The Great Round World and What Is Going On In It, Vol. 1, No. 56, December 2, 1897","Various"
5367,"The Great Round World and What Is Going On In It, Vol. 1, No. 57, December 9, 1897","Various"
5368,"Notes and Queries, Number 16, February 16, 1850","Various"
5369,"Corporal Sam and Other Stories","A. T. Quiller-Couch"
5370,"A Sketch of the History of Oneonta","Dudley M. Campbell"
5371,"King Olaf's Kinsman","Charles Whistler"
5372,"One Third Off","Irvin S. Cobb"
5373,"Her Own Way","Clyde Fitch"
5374,"Memoirs of the Author of a Vindication of the Rights of Woman","William Godwin"
5375,"Take Me for a Ride","Mark E. Laxer"
5376,"The Lion and the Unicorn and Other Stories","Richard Harding Davis"
5377,"The Atlantic Monthly, Volume 13, No. 75, January, 1864","Various"
5378,"A Voyage to Cacklogallinia","Captain Samuel Brunt"
5379,"The Philippine Islands, 1493-1898, Volume XXI, 1624","Various"
5380,"The Mansion of Mystery","Chester K. Steele"
5381,"The Physiology of Marriage, Complete","Honore de Balzac"
5382,"Analytical Studies","Honore de Balzac"
5383,"Adele Dubois","Mrs. William T. Savage"
5384,"The Works of John Dryden, Volume 5 (of 18)","John Dryden"
5385,"Lectures on the English Poets","William Hazlitt"
5386,"Miss or Mrs.?","Wilkie Collins"
5387,"Punch, or the London Charivari, Volume 158, April 21, 1920","Various"
5388,"Jack Sheppard","William Harrison Ainsworth"
5389,"American Missionary, Volume 50, No. 8, August, 1896","Various"
5390,"Prince Fortunatus","William Black"
5391,"The Law and the Lady","Wilkie Collins"
5392,"Rambles in the Mammoth Cave, during the Year 1844","Alexander Clark Bullitt"
5393,"The Spirit of Youth and the City Streets","Jane Addams"
5394,"Winter Evening Tales","Amelia Edith Huddleston Barr"
5395,"A Bibliographical, Antiquarian and Picturesque Tour in France and Germany, Volume One","Thomas Frognall  Dibdin"
5396,"Music As A Language","Ethel Home"
5397,"A Journey to Katmandu","Laurence Oliphant"
5398,"The Uses of Astronomy","Edward Everett"
5399,"Chambers' Edinburgh Journal","Various"
5400,"The Poems of Henry Van Dyke","Henry Van Dyke"
5401,"The New Magdalen","Wilkie Collins"
5402,"Fat and Blood","S. Weir Mitchell"
5403,"\"Forward, March\"","Kirk Munroe"
5404,"The Culture of Vegetables and Flowers From Seeds and Roots, 16th Edition","Sutton and Sons"
5405,"An Essay towards Fixing the True Standards of Wit, Humour, Railery, Satire, and Ridicule (1744)","Corbyn Morris"
5406,"The Two Destinies","Wilkie Collins"
5407,"Barbara's Heritage","Deristhe L. Hoyt"
5408,"The Purpose of the Papacy","John S. Vaughan"
5409,"Journal of Landsborough's Expedition from Carpentaria","William Landsborough"
5410,"The Turkish Jester","Nasreddin Hoca"
5411,"Ten Years' Exile","Anne Louise Germaine Necker, Baronne (Baroness) de Stael-Holstein"
5412,"A Very Pleasaunt & Fruitful Diologe Called the Epicure","Desiderius Erasmus"
5413,"Famous Stories Every Child Should Know","Various"
5414,"The Opera","R.A. Streatfeild"
5415,"Bought and Paid For","Arthur Hornblow"
5416,"The Frozen Deep","Wilkie Collins"
5417,"Tristan and Isolda","Richard Wagner"
5418,"A Book for Kids","C. J. (Clarence Michael James) Dennis"
5419,"Jan","A. J. Dawson"
5420,"Madge Morton, Captain of the Merry Maid","Amy D. V. Chalmers"
5421,"The Fertility of the Unfit","William Allan Chapple"
5422,"Dickey Downy","Virginia Sharpe Patterson"
5423,"The Psychology of Management","L. M. Gilbreth"
5424,"The Turtles of Tasman","Jack London"
5425,"The Squire of Sandal-Side","Amelia Edith Huddleston Barr"
5426,"The Surprising Adventures of the Magical Monarch of Mo and His People","L. Frank Baum"
5427,"After Dark","Wilkie Collins"
5428,"Some Chinese Ghosts","Lafcadio Hearn"
5429,"Punch, or the London Charivari, Volume 103, December 3, 1892","Various"
5430,"Riley Songs of Home","James Whitcomb Riley"
5431,"Harvard Psychological Studies, Volume 1","Various"
5432,"The Gamester (1753)","Edward Moore"
5433,"The Story of Jessie","Mabel Quiller-Couch"
5434,"Thought-Forms","Annie Besant"
5435,"The Evil Genius","Wilkie Collins"
5436,"Scientific American Supplement, No. 623, December 10, 1887","Various"
5437,"Punch, or the London Charivari, Vol. 158, January 21st, 1920","Various"
5438,"Continental Monthly, Vol. II. July, 1862. No. 1.","Various"
5439,"The Manual of Heraldry; Fifth Edition","Anonymous"
5440,"The Life and Adventures of Kit Carson, the Nestor of the Rocky Mountains, from Facts Narrated by Himself","De Witt C. Peters"
5441,"Some Account of the Life of Mr. William Shakespear (1709)","Nicholas Rowe"
5442,"The Power of Faith","Isabella  Graham"
5443,"New Discoveries at Jamestown","John L. Cotter"
5444,"My Lady's Money","Wilkie Collins"
5445,"Punch, or the London Charivari, Vol. 158, January 28th, 1920","Various"
5446,"History of the World War, Vol. 3","Francis A. March and Richard J. Beamish"
5447,"Idolatry","Julian Hawthorne"
5448,"Matthew Arnold","George Saintsbury"
5449,"The Way of Salvation in the Lutheran Church","G. H. Gerberding"
5450,"Talks To Teachers On Psychology; And To Students On Some Of Life's Ideals","William James"
5451,"Oddsfish!","Robert Hugh Benson"
5452,"The Fur Bringers","Hulbert Footner"
5453,"I Say No","Wilkie Collins"
5454,"The Bible Book by Book","Josiah Blake Tidwell"
5455,"The Story of the Other Wise Man","Henry Van Dyke"
5456,"The Works of the Right Honourable Edmund Burke, Vol. VII. (of 12)","Edmund Burke"
5457,"Blackwood's Edinburgh Magazine -- Volume 55, No. 340, February, 1844","Various"
5458,"England in America, 1580-1652","Lyon Gardiner Tyler"
5459,"The Vedanta-Sutras with the Commentary by Sankaracarya",NULL
5460,"Sketches From My Life","Hobart Pasha"
5461,"The Philippine Islands, 1493-1898: Volume XXII, 1625-29","Various"
5462,"Historic Tales, Vol. 1 (of 15)","Charles Morris"
5463,"A Critical Essay on Characteristic-Writings","Henry Gally"
5464,"Flower Fables","Louisa May Alcott"
5465,"Little Novels","Wilkie Collins"
5466,"The History of Emily Montague","Frances Brooke"
5467,"Guy Rivers: A Tale of Georgia","William Gilmore Simms"
5468,"Crayon and Character: Truth Made Clear Through Eye and Ear","B.J. Griswold"
5469,"Jacob Behmen","Alexander Whyte"
5470,"The Ascent of the Soul","Amory H. Bradford"
5471,"How Deacon Tubman and Parson Whitney Kept New Year's","W. H. H. Murray"
5472,"Paradoxes of Catholicism","Robert Hugh Benson"
5473,"A Monk of Fife","Andrew Lang"
5474,"Cinderella","Richard Harding Davis"
5475,"Outdoor Sports and Games","Claude H. Miller"
5476,"The Art of Public Speaking","Dale Carnagey (AKA Dale Carnegie) and J. Berg Esenwein"
5477,"A Book of Scoundrels","Charles Whibley"
5478,"If Not Silver, What?","John W. Bookwalter"
5479,"The Bread-winners","John Hay"
5480,"Luther Examined and Reexamined","W. H. T. Dau"
5481,"The Continental Monthly, Vol. IV. October, 1863, No. IV.","Various"
5482,"The Women of the Caesars","Guglielmo Ferrero"
5483,"Science in Arcady","Grant Allen"
5484,"At Home And Abroad","Margaret Fuller Ossoli"
5485,"Beowulf",NULL
5486,"The Other Girls","Mrs. A. D. T. Whitney"
5487,"The Young Priest's Keepsake","Michael Phelan"
5488,"New York Times Current History: The European War from the Beginning to March 1915, Vol 1, No. 2","Various"
5489,"A Short Life of Abraham Lincoln","John G. Nicolay"
5490,"Sundown Slim","Henry Hubert Knibbs"
5491,"Essays on the Stage","Thomas D'Urfey and Bossuet"
5492,"From Capetown to Ladysmith","G. W. Steevens"
5493,"The Homeric Hymns","Andrew Lang"
5494,"The Passenger from Calais","Arthur Griffiths"
5495,"The Foolish Virgin","Thomas Dixon"
5496,"A Cynic Looks at Life","Ambrose Bierce"
5497,"Poems","William Cullen Bryant"
5498,"A Treatise on Simple Counterpoint in Forty Lessons","Friedrich J. Lehmann"
5499,"Beth Woodburn","Maud Petitt"
5500,"The Waif of the \"Cynthia\"","Andre Laurie and Jules Verne"
5501,"Ellen Walton","Alvin Addison"
5502,"Preface to the Works of Shakespeare (1734)","Lewis Theobald"
5503,"Miscellanea","Juliana Horatia Ewing"
5504,"Dreamland","Julie M. Lippmann"
5505,"The Book of the Bush","George Dunderdale"
5506,"Ion","Plato"
5507,"Curiosities of Literature,  Vol. II (of 3)","Isaac  Disraeli"
5508,"Critical & Historical Essays","Edward MacDowell"
5509,"The Great Events by Famous Historians, Vol. 1","Various"
5510,"Scientific American Supplement, No. 421,  January 26, 1884","Various"
5511,"Scientific American Supplement, No. 620,  November 19,1887","Various"
5512,"Combed Out","Fritz August Voigt"
5513,"Brannon's Picture of The Isle of Wight","George Brannon"
5514,"Mary","Mary Wollstonecraft"
5515,"The English Gipsies and Their Language","Charles G. Leland"
5516,"Sir Thomas Browne and his 'Religio Medici'","Alexander Whyte"
5517,"Phaedrus","Plato"
5518,"Scientific American Supplement, No. 561, October 2, 1886","Various"
5519,"Lippincott's Magazine  of Popular Literature and Science, October, 1877, Vol. XX. No. 118","Various"
5520,"The Glugs of Gosh","C. J. Dennis"
5521,"The New York Times Current History of the European War, Vol 1, Issue 4, January 23, 1915","Various"
5522,"Punch, or the London Charivari, Vol. 158, March 10th, 1920","Various"
5523,"The Workingman's Paradise","John Miller"
5524,"Watch--Work--Wait","Sarah A. Myers"
5525,"The White Ladies of Worcester","Florence L. Barclay"
5526,"Fishing with a Worm","Bliss Perry"
5527,"Lameness of the Horse","John Victor Lacroix"
5528,"Bluebell","Mrs. George Croft Huddleston"
5529,"Mrs. Red Pepper","Grace S. Richmond"
5530,"Browning's Shorter Poems","Robert Browning"
5531,"The Blue Book of Chess","Howard Staunton and \"Modern Authorities\""
5532,"The Art of Perfumery","G. W. Septimus Piesse"
5533,"Children's Classics in Dramatic Form","Augusta Stevenson"
5534,"The New Revelation","Arthur Conan Doyle"
5535,"The Odds","Ethel M. Dell"
5536,"The Summons","A.E.W. Mason"
5537,"In Clive's Command","Herbert Strang"
5538,"Dotty Dimple Out West","Sophie May"
5539,"Pinnock's Improved Edition of Dr. Goldsmith's History of Rome","Oliver Goldsmith"
5540,"The Enchanted April","Elizabeth von Arnim"
5541,"Eve and David","Honore de Balzac"
5542,"Little Prudy's Dotty Dimple","Sophie May"
5543,"Punch, or the London Charivari, Volume 158, February 11, 1920","Various"
5544,"A Conspiracy of the Carbonari","Louise Muehlbach"
5545,"Larry Dexter's Great Search","Howard R. Garis"
5546,"What Necessity Knows","Lily Dougall"
5547,"A Winter Tour in South Africa","Frederick Young"
5548,"Twenty Thousand Leagues under the Sea (slightly abridged)","Jules Verne"
5549,"Lilith","George MacDonald"
5550,"Punch, or the London Charivari, Vol. 158, February 18th, 1920","Various"
5551,"The  Works  Of  John Dryden, Vol. 7 (of 18)","John Dryden"
5552,"Led Astray and The Sphinx","Octave Feuillet"
5553,"Notes and Queries, Issue No. 61, December 28, 1850","Various"
5554,"Little Classics, Volume 8 (of 18)","Various"
5555,"An Introduction to Philosophy","George Stuart Fullerton"
5556,"Under the Dragon Flag","James Allan"
5557,"The Grey Wig: Stories and Novelettes","Israel Zangwill"
5558,"Notes and Queries, Number 20, March 16, 1850","Various"
5559,"The Lesser Bourgeoisie","Honore de Balzac"
5560,"The Life-Story of Insects","Geo. H. Carpenter"
5561,"A Study of Shakespeare","Algernon Charles Swinburne"
5562,"Quincy Adams Sawyer and Mason's Corner Folks","Charles Felton Pidgin"
5563,"Tales from Many Sources","Various"
5564,"An Essay Toward a History of Shakespeare in Norway","Martin Brown Ruud"
5565,"Spadacrene Anglica","Edmund Deane"
5566,"What Great Men Have Said About Women","Various"
5567,"The Olden Time Series, Vol. 5: Some Strange and Curious Punishments","Henry M. Brooks"
5568,"Euthyphro","Plato"
5569,"The Arte of English Poesie","George Puttenham"
5570,"The Home in the Valley","Emilie F. Carlen"
5571,"A Coal From The Altar, To Kindle The Holy Fire of Zeale","Samuel Ward"
5572,"Some Christian Convictions","Henry Sloane Coffin"
5573,"Unknown Mexico, Volume 1 (of 2)","Carl Lumholtz"
5574,"The Splendid Folly","Margaret Pedler"
5575,"Meno","Plato"
5576,"The Atlantic Monthly, Volume 4, No. 23, September, 1859","Various"
5577,"Richard Wagner","John F. Runciman"
5578,"Esperanto: Hearings before the Committee on Education","Richard Bartholdt and A. Christen"
5579,"The Gay Cockade","Temple Bailey"
5580,"Autobiography of Friedrich Froebel","Friedrich Froebel"
5581,"The Atlantic Book of Modern Plays","Various"
5582,"Poems Every Child Should Know","Various"
5583,"The Children of France","Ruth Royce"
5584,"Memoirs of Arthur Hamilton, B. A. Of Trinity College, Cambridge","Arthur Christopher Benson"
5585,"The Adventures of Gerard","Arthur Conan Doyle"
5586,"The Water Supply of the El Paso and Southwestern Railway from Carrizozo to Santa Rosa, N. Mex.","J. L. Campbell"
5587,"The Closet of Sir Kenelm Digby Knight Opened","Kenelm Digby"
5588,"The Doctrine of Evolution","Henry Edward Crampton"
5589,"Indian Unrest","Valentine Chirol"
5590,"Observations and Reflections Made in the Course of a Journey through France, Italy, and Germany, Vol. I","Hester Lynch Piozzi"
5591,"The Clarion","Samuel Hopkins Adams"
5592,"Jewel's Story Book","Clara Louise Burnham"
5593,"The Number Concept","Levi Leonard Conant"
5594,"The Reminiscences of an Irish Land Agent","S.M. Hussey"
5595,"The Philippine Islands, 1493-1898, Volume XXIII, 1629-30","Various"
5596,"The Iliad of Homer","Homer"
5597,"The Measure of a Man","Amelia Edith Huddleston Barr"
5598,"The Upas Tree","Florence L. Barclay"
5599,"The Otterbein Hymnal","Edmund S. Lorenz"
5600,"The Works of John Dryden, Vol. 6 (of 18)","John Dryden"
5601,"All Around the Moon","Jules Verne"
5602,"The Princess Pocahontas","Virginia Watson"
5603,"Musical Memories","Camille Saint-Saens"
5604,"Roads of Destiny","O. Henry"
5605,"From Aldershot to Pretoria","W. E. Sellers"
5606,"A Bird's-Eye View of the Bible","Frank Nelson Palmer"
5607,"With the Boer Forces","Howard C. Hillegas"
5608,"In the Shadow of Death","P. H. Kritzinger and R. D. McDonald"
5609,"The Ancient Irish Epic Tale Tain Bo Cualnge","Unknown"
5610,"Four Months Besieged","H. H. S. Pearse"
5611,"Musicians of To-Day","Romain Rolland"
5612,"The Pot of Gold","Mary E. Wilkins"
5613,"The Lives of the Poets of Great Britain and Ireland (1753)","Theophilus Cibber"
5614,"The Profits of Religion, Fifth Edition","Upton Sinclair"
5615,"A General History and Collection of Voyages and Travels, Volume 16","Robert Kerr"
5616,"Through Forest and Fire","Edward Ellis"
5617,"Queen Hildegarde","Laura Elizabeth Howe Richards"
5618,"Lectures and Essays","Thomas Henry Huxley"
5619,"The Great Round World and What Is Going On In It, Vol. 1, No. 58, December 16, 1897","Various"
5620,"The Rover Boys on Land and Sea","Arthur M. Winfield"
5621,"Florence and Northern Tuscany with Genoa","Edward Hutton"
5622,"Records of a Girlhood","Frances Ann Kemble"
5623,"The Latin & Irish Lives of Ciaran","Anonymous"
5624,"Beechenbrook","Margaret J. Preston"
5625,"A Year's Journey through France and Part of Spain, 1777","Philip Thicknesse"
5626,"Celebrated Claimants from Perkin Warbeck to Arthur Orton","Anonymous"
5627,"The Story of the Living Machine","H. W. Conn"
5628,"Debussy's Pelleas et Melisande","Lawrence Gilman"
5629,"Ferragus","Honore de Balzac"
5630,"Vergilius","Irving Bacheller"
5631,"The Man Without a Country","Edward E. Hale"
5632,"The Transvaal from Within","J. P. Fitzpatrick"
5633,"Your Boys","Gipsy Smith"
5634,"Chronicles (1 of 6): The Historie of England (1 of 8)","Raphael Holinshed"
5635,"The Moon out of Reach","Margaret Pedler"
5636,"The Great Round World and What Is Going On In It, Vol. 1, No. 59, December 23, 1897","Various"
5637,"McTeague","Frank Norris"
5638,"More Translations from the Chinese","Various"
5639,"The Philippine Islands, 1493-1803, Volume V., 1582-1583","Various"
5640,"The Witness","Grace Livingston Hill Lutz"
5641,"Another World","Benjamin Lumley (AKA Hermes)"
5642,"Renaissance in Italy, Volumes 1 and 2","John Addington Symonds"
5643,"The Voice of the People","Ellen Glasgow"
5644,"Epistle to a Friend Concerning Poetry (1700) and the Essay on Heroic Poetry (second edition, 1697)","Samuel Wesley"
5645,"Lazy Thoughts of a Lazy Girl","Jenny Wren"
5646,"American Men of Action","Burton E. Stevenson"
5647,"Punch, or the London Charivari, Vol. 158, February 25th, 1920","Various"
5648,"The Mystery of Orcival","Emile Gaboriau"
5649,"Essays on Education and Kindred Subjects","Herbert Spencer"
5650,"Chronicles (1 of 6): The Historie of England (3 of 8)","Raphael Holinshed"
5651,"An Apology for Atheism","Charles Southwell"
5652,"World's War Events, Volume III","Various"
5653,"Walker's Appeal, with a Brief Sketch of His Life","David Walker and Henry Highland Garnet"
5654,"Liza of Lambeth","W. Somerset Maugham"
5655,"A Day's Tour","Percy Fitzgerald"
5656,"Prime Ministers and Some Others","George W. E. Russell"
5657,"The Survivors of the Chancellor","Jules Verne"
5658,"The Girl and Her Religion","Margaret Slattery"
5659,"Fanny Goes to War","Pat Beauchamp"
5660,"The Nursery, No. 106, October, 1875. Vol. XVIII.","Various"
5661,"The Kitab-i-Aqdas","Baha'u'llah"
5662,"The Nursery, No. 107, November, 1875, Vol. XVIII.","Various"
5663,"The Fat of the Land","John Williams Streeter"
5664,"Morocco","S.L. Bensusan"
5665,"Forty-one years in India","Frederick Sleigh Roberts"
5666,"Lost Leaders","Andrew Lang"
5667,"The Ridin' Kid from Powder River","Henry Herbert Knibbs"
5668,"Old St. Paul's Cathedral","William Benham"
5669,"The Plastic Age","Percy Marks"
5670,"A Young Folks' History of the Church of Jesus Christ of Latter-day Saints","Nephi  Anderson"
5671,"Myth and Romance","Madison Cawein"
5672,"Chronicles (1 of 6): The Historie of England (4 of 8)","Raphael  Holinshed"
5673,"Myths That Every Child Should Know","Various"
5674,"The Alleged Haunting of B---- House","Various"
5675,"Hero Tales and Legends of the Rhine","Lewis Spence"
5676,"An Unsocial Socialist","George Bernard Shaw"
5677,"Melchior's Dream and Other Tales","Juliana Horatia Ewing"
5678,"Poor Man's Rock","Bertrand W. Sinclair"
5679,"\"Imperialism\" and \"The Tracks of Our Forefathers\"","Charles Francis Adams"
5680,"The Boy Scouts In Russia","John Blaine"
5681,"King Alfred of England","Jacob Abbott"
5682,"Hinduism And Buddhism, Volume II. (of 3)","Charles Eliot"
5683,"Sequential Problem Solving","Fredric Lozo"
5684,"Life of Lord Byron, Vol. III","Thomas Moore"
5685,"Life of Lord Byron, Vol. IV","Thomas Moore"
5686,"The God of His Fathers","Jack London"
5687,"The Prose Works of William Wordsworth","William Wordsworth"
5688,"The Girl of the Golden West","David Belasco"
5689,"The Next of Kin","Nellie L. McClung"
5690,"Burned Bridges","Bertrand W. Sinclair"
5691,"Foes","Mary Johnston"
5692,"Chronicles 1 (of 6): The Historie of England 5 (of 8)","Raphael Holinshed"
5693,"Short Story Classics (American) Vol. 2","Various"
5694,"The Deserter","Charles King"
5695,"From the Ranks","Charles King"
5696,"The Life Story of an Old Rebel","John Denvir"
5697,"Apology","Plato"
5698,"The Diving Bell","Francis C. Woodworth"
5699,"Punch, or the London Charivari, Vol. 158, March 3rd, 1920","Various"
5700,"Amphitryo, Asinaria, Aulularia, Bacchides, Captivi","Plautus Titus Maccius"
5701,"History of the Expedition under the Command of Captains Lewis and Clark, Vol. I.","Meriwether Lewis and William Clark"
5702,"Aunt Jane's Nieces Abroad","Edith Van Dyne"
5703,"Aunt Jane's Nieces in the Red Cross","Edith Van Dyne"
5704,"Point Lace and Diamonds","George A. Baker, Jr."
5705,"Life of Lord Byron, Vol. II","Thomas Moore"
5706,"Indians of the Yosemite Valley and Vicinity","Galen Clark"
5707,"The Honorable Senator Sage-Brush","Francis Lynde"
5708,"The Twins","Martin Farquhar Tupper"
5709,"An Inquiry into the Permanent Causes of the Decline and Fall of Powerful and Wealthy Nations.","William Playfair"
5710,"Connor Magan's Luck and Other Stories","M. T. W."
5711,"The Business of Being a Woman","Ida M. Tarbell"
5712,"The Kipling Reader","Rudyard Kipling"
5713,"On The Art of Reading","Arthur Quiller-Couch"
5714,"Phaedo","Plato"
5715,"The Great Round World and What Is Going On In It, Vol. 1, No. 60, December 30, 1897","Various"
5716,"The Life of Jesus","Ernest Renan"
5717,"The Yoke","Elizabeth Miller"
5718,"Charred Wood","Myles Muredach"
5719,"The Voyage of the Rattletrap","Hayden Carruth"
5720,"Historical Tales, Vol 5 (of 15)","Charles Morris"
5721,"Over the Top With the Third Australian Division","G. P. Cuttriss"
5722,"The Killer","Stewart Edward White"
5723,"The Girl with the Golden Eyes","Honore de Balzac"
5724,"Unity of Good","Mary Baker  Eddy"
5725,"Punch, or the London Charivari, Vol. 159, July 14th, 1920","Various"
5726,"General Science","Bertha M. Clark"
5727,"A Short History of English Agriculture","W. H. R.  Curtler"
5728,"Charles Dickens and Music","James T. Lightwood"
5729,"Ungava Bob","Dillon Wallace"
5730,"Square Deal Sanderson","Charles Alden Seltzer"
5731,"History of the American Negro in the Great World War","W. Allison  Sweeney"
5732,"School, Church, and Home Games","George O. Draper"
5733,"Summer","Edith Wharton"
5734,"Scenes from a Courtesan's Life","Honore de Balzac"
5735,"Cecil Rhodes","Princess Catherine Radziwill"
5736,"The Death-Wake","Thomas T Stoddart"
5737,"The Major Operations of the Navies in the War of American Independence","A. T. Mahan"
5738,"Ladysmith","H. W. Nevinson"
5739,"Poison Island","Arthur Thomas Quiller-Couch (Q)"
5740,"The Ladies' Work-Book","Unknown"
5741,"Elizabeth Fry","Mrs. E. R. Pitman"
5742,"Blackwood's Edinburgh Magazine, Volume 54, No. 337, November, 1843","Various"
5743,"Bruvver Jim's Baby","Philip Verrill Mighels"
5744,"Life of Lord Byron, With His Letters And Journals, Vol. 5 (of 6)","(Lord Byron) George Gordon Byron"
5745,"The Adventures of Sherlock Holmes","Arthur Conan Doyle"
5746,"Chronicles (1 of 6): The Historie of England (6 of 8)","Raphael Holinshed"
5747,"Anson's Voyage Round the World","Richard Walter"
5748,"The Lee Shore","Rose Macaulay"
5749,"Bolshevism","John Spargo"
5750,"The Birth-Time of the World and Other Scientific Essays","J. (John) Joly"
5751,"By Still Waters","George William  Russell"
5752,"The Nuts of Knowledge","George William  Russell"
5753,"Chronicles (1 of 6): The Historie of England (7 of 8)","Raphael Holinshed"
5754,"Punch, or the London Charivari, Vol. 159, July 28th, 1920","Various"
5755,"The 1997 CIA World Factbook","United States. Central Intelligence Agency."
5756,"Literary Hearthstones of Dixie","La Salle Corbell Pickett"
5757,"Letters of a Woman Homesteader","Elinore Pruitt Stewart"
5758,"No and Yes","Mary Baker Eddy"
5759,"Letters to Helen","Keith Henderson"
5760,"Angelic Wisdom Concerning the Divine Love and the Divine Wisdom","Emanuel Swedenborg"
5761,"Punch, or the London Charivari, Vol. 159, August 4th, 1920","Various"
5762,"The Furnace of Gold","Philip Verrill Mighels"
5763,"Webster's Seventh of March Speech, and the Secession Movement","Herbert Darling Foster"
5764,"Empire Builders","Francis Lynde"
5765,"The Skipper and the Skipped","Holman Day"
5766,"Over Here","Edgar A. Guest"
5767,"Biltmore Oswald","J. Thorne Smith, Jr."
5768,"The Climbers","Clyde Fitch"
5769,"Makers of Madness","Hermann Hagedorn"
5770,"Sleep-Book","Various"
5771,"Golden Days for Boys and Girls, Vol. XIII, Nov. 28, 1891","Various"
5772,"The Fotygraft Album","Frank Wing"
5773,"Songs for Parents","John Farrar"
5774,"Punch, or the London Charivari, Vol. 158, June 30th, 1920","Various"
5775,"Essays","Ralph Waldo Emerson"
5776,"The Puritan Twins","Lucy Fitch Perkins"
5777,"Sermons Preached at Brighton","Frederick W. Robertson"
5778,"The Letters of Elizabeth Barrett Browning, Volume II","Elizabeth Barrett Browning"
5779,"An Outline of the Relations between England and Scotland (500-1707)","Robert S. Rait"
5780,"Holiday Stories for Young People","Various"
5781,"Derrick Vaughan--Novelist","Edna Lyall"
5782,"The Complete Home","Various"
5783,"The Safety Curtain, and Other Stories","Ethel M. Dell"
5784,"Myths of Babylonia and Assyria","Donald A. Mackenzie"
5785,"The Lost Treasure of Trevlyn","Evelyn Everett-Green"
5786,"Artist and Public","Kenyon Cox"
5787,"The Book of Missionary Heroes","Basil Mathews"
5788,"Piano and Song","Friedrich Wieck"
5789,"Translations of Shakuntala and Other Works","Kaalidaasa"
5790,"The Golden Asse","Lucius Apuleius"
5791,"The Story of the 6th Battalion, The Durham Light Infantry","Unknown"
5792,"George Selwyn: His Letters and His Life",NULL
5793,"Bad Hugh","Mary Jane Holmes"
